,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
186,186,스트레일리,롯데,31,2,0,3,10,1,31,0,0,0.27
187,188,유희관,두산,32,7,0,2,8,0,7,0,0,0.327
188,188,브리검,키움,32,3,1,1,10,2,35,1,0,0.252
189,188,이민우,KIA,32,2,3,5,12,2,18,1,0,0.327
190,191,이영하,두산,34,9,0,3,16,0,12,1,0,0.28800000000000003
191,191,루친스키,NC,34,2,0,3,9,3,18,0,0,0.304
192,191,뷰캐넌,삼성,34,5,0,2,15,1,13,1,0,0.293
193,194,알칸타라,두산,35,5,1,3,4,0,24,0,1,0.282
194,195,서폴드,한화,38,7,0,7,4,2,18,4,0,0.355
195,196,가뇽,KIA,40,6,2,1,18,1,19,3,0,0.374
196,197,핀토,SK,42,5,0,6,14,1,22,4,1,0.389
197,197,데스파이네,KT,42,1,0,3,16,0,30,3,0,0.307
