,순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP
135,136,반즈,한화,0.218,55,12,3,0,1,8,7,2,17,0
136,137,민병헌,롯데,0.21600000000000003,51,11,0,0,0,6,3,2,13,0
137,138,강경학,한화,0.214,42,9,1,0,1,6,7,1,16,0
138,139,박용택,LG,0.20800000000000002,24,5,0,0,0,2,1,0,6,1
139,140,김민식,KIA,0.207,58,12,1,0,0,4,7,0,12,2
140,141,로하스,KT,0.20600000000000002,97,20,3,1,7,23,6,1,27,3
141,142,권희동,NC,0.205,44,9,2,0,1,4,7,2,10,0
142,143,박찬호,KIA,0.203,79,16,2,0,0,8,6,0,17,0
143,144,안권수,두산,0.2,5,1,0,0,0,0,0,0,0,0
144,144,김규민,키움,0.2,5,1,0,0,0,1,0,1,0,0
145,144,김재현,SK,0.2,10,2,0,0,0,0,0,0,2,0
146,144,신민재,LG,0.2,5,1,0,0,0,0,1,0,1,1
147,144,김태군,NC,0.2,10,2,0,0,0,2,0,0,1,0
148,144,김응민,삼성,0.2,5,1,0,0,0,0,0,1,2,0
