,P_ID,year,month,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2
158,71752,2020,6,0.299,89,77,6,23,7,0,2,11,0,0,10,2,15,2,0.245
159,71752,2020,7,0.222,97,81,7,18,3,0,0,12,0,0,14,0,16,3,0.235
160,71752,2020,8,0.125,34,32,0,4,0,0,0,4,0,0,1,0,5,1,0.219
161,63559,2020,6,0.154,15,13,2,2,1,0,0,0,0,0,1,1,3,0,0.154
162,63559,2020,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154
163,63559,2020,8,0.333,4,3,3,1,0,0,0,0,0,0,0,1,1,0,0.188
164,65610,2020,5,0.273,38,33,3,9,2,0,1,4,0,0,5,0,6,2,0.273
165,65610,2020,6,0.083,14,12,1,1,0,0,0,1,0,0,1,0,3,0,0.222
166,65610,2020,7,0.235,20,17,4,4,1,0,2,4,0,0,3,0,4,1,0.226
167,65610,2020,8,0.333,6,6,2,2,0,0,0,1,0,0,0,0,1,1,0.235
168,65610,2020,9,0.250,15,12,1,3,0,0,0,1,0,0,3,0,3,0,0.238
169,62025,2020,5,0.185,31,27,3,5,1,0,0,2,1,0,4,0,4,0,0.185
170,62025,2020,6,0.167,6,6,1,1,0,0,0,0,0,0,0,0,4,1,0.182
171,62025,2020,8,0.361,38,36,6,13,3,2,1,3,0,0,1,0,8,0,0.275
172,62025,2020,9,0.292,27,24,3,7,0,0,2,6,0,0,2,0,5,2,0.280
173,73801,2020,5,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
174,73801,2020,6,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
175,73801,2020,8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
176,75340,2020,9,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
177,75342,2020,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
178,65109,2020,5,0.400,18,15,3,6,1,0,0,2,0,0,1,0,2,0,0.400
179,65109,2020,6,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.353
180,65109,2020,7,0.091,19,11,2,1,0,0,0,0,0,0,3,1,5,0,0.250
181,64086,2020,8,0.333,4,3,1,1,1,0,0,0,0,0,1,0,2,0,0.333
182,64086,2020,9,0.000,3,1,1,0,0,0,0,0,0,0,2,0,1,0,0.250
183,69209,2020,5,0.468,106,94,20,44,9,0,4,23,0,0,8,1,8,3,0.468
184,69209,2020,6,0.301,117,103,19,31,6,0,3,12,0,0,11,2,5,8,0.381
185,69209,2020,7,0.330,106,91,22,30,3,0,7,20,0,0,11,4,6,1,0.365
186,69209,2020,8,0.365,118,104,11,38,4,0,2,22,0,1,9,2,12,5,0.365
187,69209,2020,9,0.288,86,80,12,23,3,0,2,8,0,0,5,1,7,3,0.352
188,73306,2020,6,0.111,10,9,3,1,0,0,1,3,0,0,0,1,3,0,0.111
189,73306,2020,7,0.286,11,7,3,2,1,0,0,2,0,0,2,0,0,1,0.188
190,73306,2020,8,0.196,59,51,10,10,4,0,0,3,1,0,6,1,13,3,0.194
191,73306,2020,9,0.000,8,7,1,0,0,0,0,0,0,0,0,0,5,0,0.176
192,75867,2020,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
193,62556,2020,5,0.207,30,29,4,6,0,0,0,1,0,0,0,1,9,0,0.207
194,62556,2020,6,0.176,19,17,1,3,0,0,0,1,0,0,2,0,3,0,0.196
195,62556,2020,7,0.286,8,7,2,2,0,0,1,1,0,0,1,0,2,0,0.208
196,62556,2020,8,0.273,28,22,5,6,0,0,1,6,1,0,4,0,2,1,0.227
197,62556,2020,9,0.118,21,17,2,2,0,0,0,1,0,0,4,0,5,1,0.207
198,67164,2020,7,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000
199,62558,2020,5,0.133,35,30,2,4,0,0,0,2,0,0,5,0,10,0,0.133
200,62558,2020,6,0.254,65,59,8,15,4,1,1,7,0,0,5,0,9,1,0.213
201,62558,2020,7,0.234,58,47,5,11,0,0,0,5,0,0,11,0,12,1,0.221
202,62558,2020,8,0.263,50,38,5,10,1,0,2,9,1,1,10,0,9,0,0.230
203,62558,2020,9,0.163,63,49,6,8,2,0,0,9,1,1,11,1,7,3,0.215
204,68701,2020,8,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.000
205,79456,2020,5,0.367,65,60,8,22,3,1,0,9,1,0,5,0,9,3,0.367
206,79456,2020,6,0.182,40,33,1,6,2,0,0,10,0,0,4,1,5,0,0.301
207,79456,2020,7,0.365,57,52,6,19,2,0,0,3,0,0,3,1,4,2,0.324
208,79456,2020,8,0.313,51,48,3,15,1,1,0,6,0,1,1,1,5,1,0.321
209,79456,2020,9,0.206,37,34,2,7,1,0,0,4,0,0,2,1,2,2,0.304
210,66657,2020,8,0.250,5,4,0,1,0,0,0,1,0,0,1,0,1,0,0.250
