"year","month","P_ID","T_ID","AB","HIT","H2","H3","HR","RBI","BB","HP","KK","GD","AVG","PA","SB","CS","SF"
2020,7,71752,"HH",81,18,3,0,0,12,14,0,16,3,0.222,97,0,0,2
2020,7,64209,"HH",9,2,0,0,0,0,0,0,5,0,0.222,9,0,1,0
2020,7,62895,"SK",46,10,0,0,4,9,5,3,11,3,0.217,54,1,0,0
2020,7,64006,"KT",69,15,2,1,1,7,3,0,15,1,0.217,73,4,4,1
2020,7,50704,"HH",23,5,2,0,0,0,1,0,6,1,0.217,24,0,0,0
2020,7,67872,"SK",83,18,2,0,5,7,13,0,29,1,0.217,96,2,0,0
2020,7,77243,"KT",14,3,0,0,0,1,0,0,3,1,0.214,14,0,0,0
2020,7,76849,"NC",66,14,1,1,0,6,4,0,15,2,0.212,70,1,0,0
2020,7,50854,"SK",95,20,3,0,1,9,7,2,19,0,0.211,107,6,2,3
2020,7,67304,"WO",81,17,5,0,1,11,11,1,21,2,0.21,95,5,1,2
2020,7,50458,"SS",43,9,1,0,0,4,3,0,9,0,0.209,47,5,0,1
2020,7,79192,"LG",59,12,2,0,2,14,4,2,15,1,0.203,65,0,0,0
2020,7,71184,"LG",20,4,1,0,0,1,2,0,5,2,0.2,22,0,0,0
2020,7,64906,"KT",5,1,0,0,0,1,0,0,0,0,0.2,5,0,0,0
2020,7,69636,"HT",15,3,0,0,0,2,2,0,7,1,0.2,17,0,0,0
2020,7,65464,"HT",25,5,1,0,0,3,1,0,6,0,0.2,27,0,0,1
2020,7,63704,"HH",5,1,0,0,0,0,0,0,1,0,0.2,5,0,1,0
2020,7,64704,"HH",20,4,1,0,0,1,1,1,7,0,0.2,23,0,0,1
2020,7,69453,"SS",63,12,2,0,0,3,6,0,18,3,0.19,71,3,1,2
2020,7,60343,"HH",21,4,0,0,0,3,2,0,6,1,0.19,24,0,0,1
2020,7,63963,"NC",58,11,2,0,1,4,12,1,12,1,0.19,72,0,0,1
2020,7,69766,"HH",32,6,1,0,0,0,2,0,12,0,0.188,34,0,1,0
2020,7,64793,"SS",11,2,0,0,0,0,1,0,3,0,0.182,13,0,0,1
2020,7,50707,"HH",11,2,0,0,0,1,1,0,3,1,0.182,13,0,0,1
