,순위,선수명,팀명,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
54,47,김진영,한화,5,0,0,1,2,0,0,1,0,0.833
55,47,문동욱,한화,5,0,0,0,11,0,5,1,0,0.179
56,57,김강률,두산,6,1,0,0,4,1,1,0,0,0.375
57,57,김진성,NC,6,1,0,1,1,0,7,1,0,0.261
58,57,금민철,KT,6,1,0,0,1,2,2,0,0,0.545
59,57,이보근,KT,6,1,0,0,1,0,4,1,0,0.146
60,57,홍상삼,KIA,6,2,0,0,15,1,13,2,0,0.17600000000000002
61,57,송승준,롯데,6,1,1,0,3,0,9,0,0,0.28600000000000003
62,57,최준용,롯데,6,1,0,0,0,0,2,0,0,0.353
63,64,이현승,두산,7,0,0,0,0,2,7,0,0,0.25
64,64,김정후,키움,7,0,0,1,4,0,3,0,0,0.467
65,64,브리검,키움,7,0,0,1,2,0,9,1,0,0.19399999999999998
66,64,조성운,키움,7,3,0,1,1,1,3,0,0,0.2
67,64,서진용,SK,7,0,0,1,5,0,10,2,0,0.18899999999999997
68,64,정영일,SK,7,1,0,1,1,1,7,0,0,0.259
69,64,최성훈,LG,7,2,1,0,2,1,8,0,0,0.259
70,64,김영규,NC,7,2,0,0,0,0,3,0,0,0.467
71,64,배재환,NC,7,1,0,0,7,0,7,0,0,0.24100000000000002
72,64,전유수,KT,7,1,0,1,5,0,3,0,0,0.233
73,64,김현수,KIA,7,0,0,1,7,1,0,0,0,0.389
74,64,김윤수,삼성,7,2,0,0,8,0,4,2,0,0.184
75,64,장지훈,삼성,7,1,0,2,4,2,4,1,0,0.368
76,64,허윤동,삼성,7,1,0,0,7,1,6,0,1,0.26899999999999996
77,64,정우람,한화,7,2,0,0,2,2,9,1,0,0.20600000000000002
78,64,강동호,롯데,7,1,0,1,2,0,3,0,0,0.304
79,64,구승민,롯데,7,1,0,1,5,0,13,1,0,0.2
80,64,진명호,롯데,7,2,0,0,4,0,3,1,0,0.41200000000000003
81,82,윤명준,두산,8,0,0,3,1,0,3,0,0,0.29600000000000004
82,82,안우진,키움,8,0,0,1,9,0,15,1,0,0.182
83,82,조상우,키움,8,1,0,0,2,0,10,0,0,0.22899999999999998
84,82,김정빈,SK,8,2,0,1,13,1,9,2,0,0.242
85,82,신재웅,SK,8,2,1,2,3,0,4,0,0,0.47100000000000003
86,82,최동환,LG,8,2,0,3,2,0,4,0,0,0.28600000000000003
